# 오늘의 말씀 한 줄 적용문 — reference<TAB>적용문
# 풀이(LLM)가 실패했을 때의 폴백이다. 한 문장, 30자 안팎, '~하세요/~보세요' 체.
# 기존 385개 목록에서 참조가 같은 것은 그대로 가져왔다.
히브리서 4:16	어려운 순간에 기도하며 은혜의 보좌로 나아가세요.
히브리서 13:16	작은 선행으로 하루를 시작하며, 나눔의 기쁨을 경험해보세요.
야고보서 3:18	화평을 전하는 작은 행동으로 주변을 따뜻하게 만들어 보세요.
요한삼서 1:2	타인의 영혼과 삶을 위해 기도하며, 서로의 건강을 기원하세요.
요한삼서 1:11	선한 것을 본받으며, 오늘 하루 작은 선행을 실천해 보세요.
마태복음 5:4	애통하는 마음을 하나님께 드리며, 위로받는 시간을 가져보세요.
마태복음 5:9	화평을 이루는 자가 되기 위해 작은 실천을 해보세요.
마태복음 6:6	조용한 기도의 시간을 가져보며 하나님과 소통하세요.
마태복음 6:34	내일의 걱정을 오늘로 끌어오지 말고, 오늘 몫만 감당해 보세요.
마태복음 11:28	지친 마음을 숨기지 말고 쉼을 주시는 분께 그대로 가져가세요.
누가복음 6:21	주린 마음을 채우고, 슬픔 속에서도 웃음을 찾아보세요.
요한복음 13:34	주님의 사랑을 기억하며 주변 사람들에게 사랑을 표현해 보세요.
요한복음 14:27	주님의 평안을 마음에 새기고, 불안한 생각을 내려놓으세요.
이사야 26:3	하루를 시작하며 주님을 의지하는 마음을 가져보세요.
이사야 33:6	하나님을 경외하며 지혜와 평안을 구하는 하루가 되길 바랍니다.
이사야 40:31	지친 걸음에 새 힘을 더해 주시길 기대하며 오늘을 걸어가세요.
이사야 41:10	두려움을 떨치고 하나님께 의지하는 하루를 살아보세요.
이사야 43:2	지나가는 어려움 한복판에서도 함께하신다는 약속을 붙드세요.
이사야 54:10	변하지 않는 하나님의 인자함을 생각하며, 평안을 누려보세요.
예레미야애가 3:25	하루를 시작하며 주님의 선하심을 기대하는 마음을 가져보세요.
호세아 6:1	상처를 치유하실 하나님께 마음을 열어보세요.
아모스 5:14	선한 선택을 통해 삶의 방향을 바꿔보세요.
미가 6:8	공의를 행하고 사랑을 나누며 겸손한 마음으로 살아가세요.
미가 7:8	어두운 기분이 드는 날, 주님이 나의 빛이심을 기억하세요.
여호수아 1:9	오늘 하루 두려움이 생길 때, 하나님과의 동행을 느껴보세요.
예레미야 29:11	하나님이 주시는 소망을 믿고 긍정적으로 생각하세요.
다니엘 12:3	주변 사람들에게 긍정적인 영향을 미치는 하루를 만들어보세요.
에스겔 18:32	하루를 살아가며 회개하고 새로운 삶을 선택하는 시간을 가져보세요.
민수기 6:24-26	하나님의 복을 믿고 오늘 하루를 긍정적으로 시작하세요.
신명기 31:8	두려움이 올 때, 하나님이 함께하심을 기억하세요.
로마서 8:28	하루의 작은 일들 속에서 주님의 뜻을 찾으려 노력해 보세요.
로마서 12:2	세상의 기준에 흔들리지 말고, 하나님의 뜻을 찾아보는 시간을 가져보세요.
로마서 15:13	소망의 하나님께 의지하며 기쁨과 평강으로 하루를 채워보세요.
고린도전서 13:13	믿음과 소망을 가지고 사랑을 실천하며 하루를 보내세요.
고린도후서 1:4	자신이 받은 위로를 다른 이와 나누는 시간을 가져보세요.
고린도후서 9:7	마음의 결정을 소중히 여기고, 기쁜 마음으로 작은 일을 시작해보세요.
고린도후서 12:10	약함을 통해 하나님의 강함을 경험하는 기회를 찾아보세요.
갈라디아서 6:9	선한 일을 계속하며, 포기하지 않고 기다리는 인내를 가져보세요.
에베소서 5:8	빛의 자녀로서 긍정적인 영향을 주는 행동을 해보세요.
빌립보서 4:4	오늘 하루, 작은 일에도 기쁨을 찾고 감사하는 마음을 가지세요.
빌립보서 4:6	염려를 기도로 바꾸며 하루를 시작하는 연습을 해보세요.
빌립보서 4:13	내 힘의 한계 앞에서 능력 주시는 분을 의지해 보세요.
골로새서 4:2	기도의 힘을 느끼며, 하루의 시작과 끝에 기도를 잊지 마세요.
잠언 3:5	내 계산보다 더 큰 인도하심을 신뢰하는 태도가 필요할 때가 있습니다.
잠언 3:13	지혜를 구하며 오늘의 선택에 신중함을 더해보세요.
잠언 3:18	지혜를 통해 삶의 기쁨을 느끼며 소중한 순간을 만끽하세요.
잠언 4:6	지혜를 소중히 여기며 선택의 순간을 지켜보세요.
잠언 4:7	지혜를 얻기 위해 오늘 배운 것을 실천해보는 시간을 가져보세요.
잠언 6:23	하나님의 말씀을 통해 삶의 길을 밝혀주시는 것에 감사해보세요.
잠언 11:2	겸손한 마음으로 오늘의 어려움을 받아들이고 대화해보세요.
잠언 11:30	의로운 행동이 주변에 긍정적인 영향을 미칠 수 있도록 노력해보세요.
잠언 15:13	마음의 즐거움을 찾기 위해 오늘 좋아하는 일을 해보세요.
잠언 16:9	계획을 세우되 하나님께 모든 것을 맡겨보세요.
잠언 16:19	겸손한 마음으로 주변 사람들과 소통해보는 하루를 가져보세요.
잠언 19:8	지혜를 얻기 위해 스스로를 돌아보고 반성하는 시간을 가지세요.
잠언 20:22	오늘은 기다림의 의미를 생각하며, 하나님의 구원을 믿어보세요.
전도서 4:10	주변의 누군가에게 손을 내밀어 보며 함께 일어나는 시간을 가지세요.
전도서 9:7	하나님이 주신 기쁨을 누리며 소중한 사람과 함께 식사해보세요.
시편 4:8	하나님께서 주시는 평안으로 편안한 마음을 유지하세요.
시편 23:4	어두운 상황에서도 하나님과의 동행을 느껴보세요.
